Player,Team,Position,Cap Hit,pv
Jordan Spence,Los Angeles Kings,D,"$1,500,000",1.5
Isac Lundestrom,Anaheim Ducks,F,"$1,500,000",1.5
Oskar Sundqvist,St Louis Blues,F,"$1,500,000",1.5
Jani Hakanpaa,Toronto Maple Leafs,D,"$1,470,000",1.47
Fabian Zetterlund,San Jose Sharks,F,"$1,450,000",1.45
Mattias Janmark,Edmonton Oilers,F,"$1,450,000",1.45
Peyton Krebs,Buffalo Sabres,F,"$1,450,000",1.45
Keegan Kolesar,Vegas Golden Knights,F,"$1,400,000",1.4
Dylan Samberg,Winnipeg Jets,D,"$1,400,000",1.4
Jordan Harris,Columbus Blue Jackets,D,"$1,400,000",1.4
Michael Kesselring,Utah Hockey Club,D,"$1,400,000",1.4
Beck Malenstyn,Buffalo Sabres,F,"$1,350,000",1.35
Bobby McMann,Toronto Maple Leafs,F,"$1,350,000",1.35
Morgan Barron,Winnipeg Jets,F,"$1,350,000",1.35
Ryan Reaves,Toronto Maple Leafs,F,"$1,350,000",1.35
Nathan Bastian,New Jersey Devils,F,"$1,350,000",1.35
Simon Benoit,Toronto Maple Leafs,D,"$1,350,000",1.35
Kevin Rooney,Calgary Flames,F,"$1,300,000",1.3
Arber Xhekaj,Montreal Canadiens,D,"$1,300,000",1.3
Nic Dowd,Washington Capitals,F,"$1,300,000",1.3
Pat Maroon,Chicago Blackhawks,F,"$1,300,000",1.3
Ty Dellandrea,San Jose Sharks,F,"$1,300,000",1.3
Zach Bogosian,Minnesota Wild,D,"$1,250,000",1.25
Tyson Barrie,Calgary Flames,D,"$1,250,000",1.25
Anthony Beauvillier,Pittsburgh Penguins,F,"$1,250,000",1.25
Daniil Miromanov,Calgary Flames,D,"$1,250,000",1.25
Logan Stanley,Winnipeg Jets,D,"$1,250,000",1.25
Mike Reilly,New York Islanders,D,"$1,250,000",1.25
Nils Lundkvist,Dallas Stars,D,"$1,250,000",1.25
Alexei Toropchenko,St Louis Blues,F,"$1,250,000",1.25
Lukas Reichel,Chicago Blackhawks,F,"$1,200,000",1.2
Jon Merrill,Minnesota Wild,D,"$1,200,000",1.2
Sam Steel,Dallas Stars,F,"$1,200,000",1.2
Connor Dewar,Toronto Maple Leafs,F,"$1,180,000",1.18
Scott Perunovich,St Louis Blues,D,"$1,150,000",1.15
Justin Barron,Montreal Canadiens,D,"$1,150,000",1.15
Kurtis MacDermid,New Jersey Devils,F,"$1,150,000",1.15
Corey Perry,Edmonton Oilers,F,"$1,150,000",1.15
Dmitry Kulikov,Florida Panthers,D,"$1,150,000",1.15
Nicklaus Perbix,Tampa Bay Lightning,D,"$1,125,000",1.125
Christian Fischer,Detroit Red Wings,F,"$1,125,000",1.125
Conor Timmins,Toronto Maple Leafs,D,"$1,100,000",1.1
Travis Hamonic,Ottawa Senators,D,"$1,100,000",1.1
Urho Vaakanainen,Anaheim Ducks,D,"$1,100,000",1.1
Nils Hoglander,Vancouver Canucks,F,"$1,100,000",1.1
Ross Johnston,Anaheim Ducks,F,"$1,100,000",1.1
Justin Danforth,Columbus Blue Jackets,F,"$1,100,000",1.1
Mathieu Olivier,Columbus Blue Jackets,F,"$1,100,000",1.1
Rafael Harvey-Pinard,Montreal Canadiens,F,"$1,100,000",1.1
Kyle Burroughs,Los Angeles Kings,D,"$1,100,000",1.1
Victor Olofsson,Vegas Golden Knights,F,"$1,075,000",1.075
Logan O'Connor,Colorado Avalanche,F,"$1,050,000",1.05
Oliver Kylington,Colorado Avalanche,D,"$1,050,000",1.05
Brett Leason,Anaheim Ducks,F,"$1,050,000",1.05
Kevin Bahl,Calgary Flames,D,"$1,050,000",1.05
Henry Thrun,San Jose Sharks,D,"$1,000,000",1.0
Rasmus Kupari,Winnipeg Jets,F,"$1,000,000",1.0
Liam O'Brien,Utah Hockey Club,F,"$1,000,000",1.0
Kasperi Kapanen,St Louis Blues,F,"$1,000,000",1.0
Vasily Podkolzin,Edmonton Oilers,F,"$1,000,000",1.0
Craig Smith,Chicago Blackhawks,F,"$1,000,000",1.0
Declan Chisholm,Minnesota Wild,D,"$1,000,000",1.0
Taylor Raddysh,Washington Capitals,F,"$1,000,000",1.0
Brendan Smith,Dallas Stars,D,"$1,000,000",1.0
Martin Pospisil,Calgary Flames,F,"$1,000,000",1.0
Oliver Wahlstrom,New York Islanders,F,"$1,000,000",1.0
Erik Johnson,Philadelphia Flyers,D,"$1,000,000",1.0
Andreas Englund,Los Angeles Kings,D,"$1,000,000",1.0
Curtis Lazar,New Jersey Devils,F,"$1,000,000",1.0
Connor Brown,Edmonton Oilers,F,"$1,000,000",1.0
Sam Carrick,New York Rangers,F,"$1,000,000",1.0
Curtis Lazar,New Jersey Devils,F,"$1,000,000",1.0
Ben Hutton,Vegas Golden Knights,D,"$975,000",0.975
Darren Raddysh,Tampa Bay Lightning,D,"$975,000",0.975
Daniel Sprong,Seattle Kraken,F,"$975,000",0.975
Macklin Celebrini,San Jose Sharks,F,"$975,000",0.975
Zach Benson,Buffalo Sabres,F,"$950,000",0.95
Will Smith,San Jose Sharks,F,"$950,000",0.95
Pierre-Olivier Joseph,St Louis Blues,D,"$950,000",0.95
Cutter Gauthier,Anaheim Ducks,F,"$950,000",0.95
Lane Hutson,Montreal Canadiens,D,"$950,000",0.95
Eric Robinson,Carolina Hurricanes,F,"$950,000",0.95
Juraj Slafkovský,Montreal Canadiens,F,"$950,000",0.95
Matvei Michkov,Philadelphia Flyers,F,"$950,000",0.95
Logan Cooley,Utah Hockey Club,F,"$950,000",0.95
Leo Carlsson,Anaheim Ducks,F,"$950,000",0.95
Maxim Tsyplakov,New York Islanders,F,"$950,000",0.95
Connor Bedard,Chicago Blackhawks,F,"$950,000",0.95
Ty Emberson,Edmonton Oilers,D,"$950,000",0.95
Adam Fantilli,Columbus Blue Jackets,F,"$950,000",0.95
Dmitri Voronkov,Columbus Blue Jackets,F,"$925,000",0.925
Drew O'Connor,Pittsburgh Penguins,F,"$925,000",0.925
Mason Lohrei,Boston Bruins,D,"$925,000",0.925
Brock Faber,Minnesota Wild,D,"$925,000",0.925
Jackson LaCombe,Anaheim Ducks,D,"$925,000",0.925
John Beecher,Boston Bruins,F,"$925,000",0.925
Luke Hughes,New Jersey Devils,D,"$925,000",0.925
Sam Colangelo,Anaheim Ducks,F,"$925,000",0.925
Matthew Knies,Toronto Maple Leafs,F,"$925,000",0.925
Drew Helleson,Anaheim Ducks,D,"$925,000",0.925
Georgii Merkulov,Boston Bruins,F,"$925,000",0.925
Marat Khusnutdinov,Minnesota Wild,F,"$925,000",0.925
Mackie Samoskevich,Florida Panthers,F,"$925,000",0.925
Matt Coronato,Calgary Flames,F,"$925,000",0.925
Jonathan Lekkerimaki,Vancouver Canucks,F,"$918,333",0.918
David Jiricek,Columbus Blue Jackets,D,"$918,333",0.918
Pavel Mintyukov,Anaheim Ducks,D,"$918,333",0.918
Wyatt Kaiser,Chicago Blackhawks,D,"$916,667",0.917
Tyler Kleven,Ottawa Senators,D,"$916,667",0.917
Jackson Blake,Carolina Hurricanes,F,"$905,833",0.906
Emil Andrae,Philadelphia Flyers,D,"$903,333",0.903
Cam Atkinson,Tampa Bay Lightning,F,"$900,000",0.9
James van Riemsdyk,Columbus Blue Jackets,F,"$900,000",0.9
Matt Nieto,Pittsburgh Penguins,F,"$900,000",0.9
Derek Ryan,Edmonton Oilers,F,"$900,000",0.9
Michael McCarron,Nashville Predators,F,"$900,000",0.9
Jacob Bryson,Buffalo Sabres,D,"$900,000",0.9
Erik Brannstrom,Vancouver Canucks,D,"$900,000",0.9
Emil Heineman,Montreal Canadiens,F,"$897,500",0.897
Ryker Evans,Seattle Kraken,D,"$897,500",0.897
Mikael Pyyhtia,Columbus Blue Jackets,F,"$897,500",0.897
Nikolai Kovalenko,Colorado Avalanche,F,"$896,250",0.896
Alexander Holtz,Vegas Golden Knights,F,"$894,167",0.894
Dylan Guenther,Utah Hockey Club,F,"$894,176",0.894
Mason McTavish,Anaheim Ducks,F,"$894,167",0.894
Wyatt Johnston,Dallas Stars,F,"$894,167",0.894
Simon Edvinsson,Detroit Red Wings,D,"$894,167",0.894
Mavrik Bourque,Dallas Stars,F,"$894,167",0.894
Owen Pickering,Pittsburgh Penguins,D,"$886,667",0.887
Maveric Lamoureux,Utah Hockey Club,D,"$886,666",0.887
Shane Wright,Seattle Kraken,F,"$886,666",0.887
Marco Kasper,Detroit Red Wings,F,"$886,666",0.887
Jiri Kulich,Buffalo Sabres,F,"$886,666",0.887
Conor Geekie,Tampa Bay Lightning,F,"$886,666",0.887
Travis Mitchell,New York Islanders,D,"$882,500",0.882
Alex Laferriere,Los Angeles Kings,F,"$875,000",0.875
Nicholas Robertson,Toronto Maple Leafs,F,"$875,000",0.875
Max Pacioretty,Toronto Maple Leafs,F,"$873,770",0.874
Emil Lilleberg,Tampa Bay Lightning,D,"$870,000",0.87
Jayden Struble,Montreal Canadiens,D,"$867,500",0.868
Connor Zary,Calgary Flames,F,"$863,334",0.863
Marco Rossi,Minnesota Wild,F,"$863,334",0.863
Hendrix Lapierre,Washington Capitals,F,"$863,334",0.863
Tyson Foerster,Philadelphia Flyers,F,"$863,334",0.863
Zachary L'Heureux,Nashville Predators,F,"$863,334",0.863
Ridly Greig,Ottawa Senators,F,"$863,334",0.863
Kaiden Guhle,Montreal Canadiens,D,"$863,334",0.863
Zachary Bolduc,St Louis Blues,F,"$863,334",0.863
Brandt Clarke,Los Angeles Kings,D,"$863,334",0.863
Jack Quinn,Buffalo Sabres,F,"$863,334",0.863
William Eklund,San Jose Sharks,F,"$863,333",0.863
Tye Kartye,Seattle Kraken,F,"$859,167",0.859
John-Jason Peterka,Buffalo Sabres,F,"$855,834",0.856
Uvis Balinskis,Florida Panthers,D,"$850,000",0.85
Simon Holmstrom,New York Islanders,F,"$850,000",0.85
Zemgus Girgensons,Tampa Bay Lightning,F,"$850,000",0.85
A.J. Greer,Florida Panthers,F,"$850,000",0.85
Sam Malinski,Colorado Avalanche,D,"$850,000",0.85
Noah Gregor,Ottawa Senators,F,"$850,000",0.85
Adam Edstrom,New York Rangers,F,"$846,667",0.847
Ivan Ivan,Colorado Avalanche,F,"$845,000",0.845
Olen Zellweger,Anaheim Ducks,D,"$844,167",0.844
Isaiah George,New York Islanders,D,"$838,333",0.838
Elias Pettersson,Vancouver Canucks,D,"$838,333",0.838
Aatu Räty,Vancouver Canucks,F,"$836,667",0.837
Jake Neighbours,St Louis Blues,F,"$835,834",0.836
Mark Kastelic,Boston Bruins,F,"$835,000",0.835
David Gustafsson,Winnipeg Jets,F,"$835,000",0.835
Tyson Hinds,Anaheim Ducks,D,"$829,444",0.829
Will Cuylle,New York Rangers,F,"$828,333",0.828
Jack Thompson,San Jose Sharks,D,"$828,333",0.828
Dennis Gilbert,Buffalo Sabres,D,"$825,000",0.825
Nolan Allan,Chicago Blackhawks,D,"$825,000",0.825
Parker Kelly,Colorado Avalanche,F,"$825,000",0.825
Alexander Alexeyev,Washington Capitals,D,"$825,000",0.825
Kaedan Korczak,Vegas Golden Knights,D,"$825,000",0.825
Philip Tomasino,Nashville Predators,F,"$825,000",0.825
Arthur Kaliyev,Los Angeles Kings,F,"$825,000",0.825
Jonatan Berggren,Detroit Red Wings,F,"$825,000",0.825
Logan Stankoven,Dallas Stars,F,"$814,167",0.814
Michael Pezzetta,Montreal Canadiens,F,"$812,500",0.812
Zachary Jones,New York Rangers,D,"$812,500",0.812
Jacob Bernard-Docker,Ottawa Senators,D,"$805,000",0.805
Matthew Kessel,St Louis Blues,D,"$800,000",0.8
Luke Glendening,Tampa Bay Lightning,F,"$800,000",0.8
Givani Smith,San Jose Sharks,F,"$800,000",0.8
Cole Schwindt,Vegas Golden Knights,F,"$800,000",0.8
Nick Cousins,Ottawa Senators,F,"$800,000",0.8
Tyler Motte,Detroit Red Wings,F,"$800,000",0.8
Ville Heinola,Winnipeg Jets,D,"$800,000",0.8
Michael Eyssimont,Tampa Bay Lightning,F,"$800,000",0.8
Jesse Puljujarvi,Pittsburgh Penguins,F,"$800,000",0.8
Joey Anderson,Chicago Blackhawks,F,"$800,000",0.8
Trevor Lewis,Los Angeles Kings,F,"$800,000",0.8
Pontus Holmberg,Toronto Maple Leafs,F,"$800,000",0.8
Mitchell Chaffee,Tampa Bay Lightning,F,"$800,000",0.8
Mark Jankowski,Nashville Predators,F,"$800,000",0.8
Jimmy Vesey,New York Rangers,F,"$800,000",0.8
Calvin de Haan,Colorado Avalanche,D,"$800,000",0.8
Nate Schmidt,Florida Panthers,D,"$800,000",0.8
Parker Wotherspoon,Boston Bruins,D,"$800,000",0.8
Luke Evangelista,Nashville Predators,F,"$797,500",0.797
Vasiliy Ponomarev,Pittsburgh Penguins,F,"$795,000",0.795
Jonny Brodzinski,New York Rangers,F,"$787,500",0.787
Jansen Harkins,Anaheim Ducks,F,"$787,500",0.787
Joel Hanley,Calgary Flames,D,"$787,500",0.787
Jakub Lauko,Minnesota Wild,F,"$787,500",0.787
Troy Stecher,Edmonton Oilers,D,"$787,500",0.787
Akil Thomas,Los Angeles Kings,F,"$775,000",0.775
Dylan McIlrath,Washington Capitals,D,"$775,000",0.775
Justin Kirkland,Calgary Flames,F,"$775,000",0.775
Juuso Parssinen,Nashville Predators,F,"$775,000",0.775
Jake Christiansen,Columbus Blue Jackets,D,"$775,000",0.775
Marc Del Gaizo,Nashville Predators,D,"$775,000",0.775
Valtteri Puustinen,Pittsburgh Penguins,F,"$775,000",0.775
Grant Hutton,New York Islanders,D,"$775,000",0.775
Tanner Pearson,Vegas Golden Knights,F,"$775,000",0.775
Ben Meyers,Seattle Kraken,F,"$775,000",0.775
Oskar Back,Dallas Stars,F,"$775,000",0.775
Cole Koepke,Boston Bruins,F,"$775,000",0.775
Lucas Condotta,Montreal Canadiens,F,"$775,000",0.775
Anthony Richard,Philadelphia Flyers,F,"$775,000",0.775
Ryan Suter,St Louis Blues,D,"$775,000",0.775
Noah Juulsen,Vancouver Canucks,D,"$775,000",0.775
Albert Johansson,Detroit Red Wings,D,"$775,000",0.775
Jordan Oesterle,Boston Bruins,D,"$775,000",0.775
Robert Bortuzzo,Utah Hockey Club,D,"$775,000",0.775
Jack Johnson,Columbus Blue Jackets,D,"$775,000",0.775
Samuel Poulin,Pittsburgh Penguins,F,"$775,000",0.775
TJ Tynan,Colorado Avalanche,F,"$775,000",0.775
Kevin Labanc,Columbus Blue Jackets,F,"$775,000",0.775
Dennis Cholowski,New York Islanders,D,"$775,000",0.775
Steven Lorentz,Toronto Maple Leafs,F,"$775,000",0.775
Louis Crevier,Chicago Blackhawks,D,"$775,000",0.775
Adam Boqvist,Florida Panthers,D,"$775,000",0.775
Travis Dermott,Edmonton Oilers,D,"$775,000",0.775
Tyson Jost,Carolina Hurricanes,F,"$775,000",0.775
Colin Blackwell,Dallas Stars,F,"$775,000",0.775
Tomas Nosek,Florida Panthers,F,"$775,000",0.775
Tyler Johnson,Boston Bruins,F,"$775,000",0.775
Hudson Fasching,New York Islanders,F,"$775,000",0.775
Brayden Pachal,Calgary Flames,D,"$775,000",0.775
Philippe Myers,Toronto Maple Leafs,D,"$775,000",0.775
Chad Ruhwedel,New York Rangers,D,"$775,000",0.775
Paul Cotter,New Jersey Devils,F,"$775,000",0.775
Zach Aston-Reese,Columbus Blue Jackets,F,"$775,000",0.775
Adam Wilsby,Nashville Predators,D,"$775,000",0.775
Justin Brazeau,Boston Bruins,F,"$775,000",0.775
Joel Kiviranta,Colorado Avalanche,F,"$775,000",0.775
Dylan Coghlan,Winnipeg Jets,D,"$775,000",0.775
Kyle MacLean,New York Islanders,F,"$775,000",0.775
Alex Turcotte,Los Angeles Kings,F,"$775,000",0.775
Jesper Boqvist,Florida Panthers,F,"$775,000",0.775
Dakota Mermis,Toronto Maple Leafs,D,"$775,000",0.775
Alex Steeves,Toronto Maple Leafs,F,"$775,000",0.775
Jakub Vrana,Washington Capitals,F,"$775,000",0.775
Adam Gaudette,Ottawa Senators,F,"$775,000",0.775
Josh Mahura,Seattle Kraken,D,"$775,000",0.775
Ty Smith,Carolina Hurricanes,D,"$775,000",0.775
Nathan Walker,St Louis Blues,F,"$775,000",0.775
Vladislav Kolyachonok,Utah Hockey Club,D,"$775,000",0.775
Haydn Fleury,Winnipeg Jets,D,"$775,000",0.775
Corey Schueneman,St Louis Blues,D,"$775,000",0.775
Zack MacEwen,Ottawa Senators,F,"$775,000",0.775
John Ludvig,Colorado Avalanche,D,"$775,000",0.775
Michael Carcone,Utah Hockey Club,F,"$775,000",0.775
Ryan Shea,Pittsburgh Penguins,D,"$775,000",0.775
Jack St. Ivany,Pittsburgh Penguins,D,"$775,000",0.775
Jonah Gadjovich,Florida Panthers,F,"$775,000",0.775
Matt Martin,New York Islanders,F,"$775,000",0.775
Caleb Jones,Los Angeles Kings,D,"$775,000",0.775
Jake Leschyshyn,New York Rangers,F,"$766,667",0.767
Johnathan Kovacevic,New Jersey Devils,D,"$766,667",0.767
